NumberOfEpochs,TrainingLoss
360,0.6702833702700478
361,0.6703442386997557
362,0.6704048859455107
363,0.6704653136594876
364,0.6705255234179209
365,0.670585516722123
366,0.6706452949994216
367,0.6707048596040622
368,0.6707642118180461
369,0.6708233528519186
370,0.6708822838455079
371,0.6709410058686355
372,0.6709995199217591
373,0.671057826936591
374,0.6711159277766812
375,0.6711738232379526
376,0.6712315140492222
377,0.6712890008726852
378,0.6713462843043826
379,0.6714033648746359
380,0.6714602430484883
381,0.6715169192261122
382,0.6715733937432358
383,0.6716296668715437
384,0.6716857388191109
385,0.671741609730829
386,0.6717972796888592
387,0.6718527487131216
388,0.6719080167617972
389,0.6719630837319128
390,0.6720179494599446
391,0.6720726137225044
392,0.6721270762371157
393,0.6721813366630645
394,0.6722353946023688
395,0.6722892496008649
396,0.6723429011494487
397,0.6723963486854618
398,0.6724495915942841
399,0.6725026292111045
400,0.6725554608229523
401,0.67260808567099
402,0.672660502953086
403,0.6727127118267321
404,0.6727647114123315
405,0.6728165007968847
406,0.6728680790381638
407,0.6729194451693713
408,0.6729705982043813
409,0.6730215371436019
410,0.6730722609805435
411,0.6731227687091657
412,0.6731730593320422
413,0.6732231318695118
414,0.6732729853698283
415,0.6733226189204689
416,0.673372031660686
417,0.6734212227954187
418,0.6734701916107259
419,0.6735189374908399
420,0.6735674599370026
421,0.6736157585882422
422,0.6736638332442669
423,0.6737116838905995
424,0.6737593107261896
425,0.6738067141936258
426,0.6738538950121788
427,0.6739008542138067
428,0.6739475931823267
429,0.6739941136959082
430,0.6740404179730047
431,0.6740865087218788
432,0.6741323891937627
433,0.674178063239705
434,0.6742235353710593
435,0.6742688108235235
436,0.6743138956245038
437,0.674358796663486
438,0.6744035217649693
439,0.6744480797632879
440,0.6744924805785503
441,0.674536735292599
442,0.674580856223724
443,0.6746248569985338
444,0.6746687526190943
445,0.6747125595231279
446,0.6747562956347333
447,0.6747999804027034
448,0.6748436348232513
449,0.6750485659940305
450,0.6752611210911569
451,0.6754719847659059
452,0.6756810280968578
453,0.6758881184347743
454,0.6760931199807968
455,0.6762958944841952
456,0.6764963020638216
457,0.6766942021543465
458,0.6768894545747159
459,0.6770819207118965
460,0.677271464808085
461,0.6774579553342914
462,0.6776412664278473
463,0.6778212793660424
464,0.6779978840433025
465,0.6781709804153842
466,0.6783404798713054
467,0.678506306492561
468,0.6786683981597385
469,0.6788267074694296
470,0.678981202428877
471,0.679131866902356
472,0.6792787007915828
473,0.679421719941511
474,0.6795609557731453
475,0.6796964546546272
476,0.6798282770314953
477,0.6799564963449555
478,0.6800811977736514
479,0.6802024768389857
480,0.6803204379163522
481,0.6804351926951216
482,0.6805468586284543
483,0.6806555574107678
484,0.6807614135160684
485,0.680864552824838
486,0.6809651013612523
487,0.6810631841564236
488,0.6811589242474546
489,0.6812524418169101
490,0.681343853472468
491,0.6814332716627344
492,0.6815208042220252
493,0.6816065540346465
494,0.6816906188076717
495,0.6817730909402165
496,0.6818540574769586
497,0.681933600133685
498,0.682011795383146
499,0.6820887145901618
500,0.6821644241858906
